berita,tagging
['faktanya klaim unggahan cekfakta tempo co pembangunan rencana pemukiman khusus cina warga ikn nasional kontan agung co id sedayu group salah investor negeri swasta berinvestasi pengembangan membangun ikn mal hotel perkantoran agung podomoro membangun permukiman ikn kota samarinda balikpapan sisi melaporkan lippo group berinvestasi membangun fasilitas rumah pendidikan sakit ikn cina membangun khusus pemukiman warga cina menguasai indonesia'],1
['klaim unggahan cekfakta tempo co rencana pembangunan pemukiman khusus warga cina nasional kontan co id agung sedayu group salah investor swasta negeri berinvestasi pengembangan ikn membangun mal hotel agung podomoro permukiman ikn kota samarinda balikpapan sisi melaporkan lippo berinvestasi membangun rumah sakit fasilitas pendidikan ikn cina membangun pemukiman khusus cina menguasai indonesia'],1
kim jong un medukung timnas indonesia korsel dukungan kim jong un jokowi kirim bunga ucapan terima kasih jokowi kirim bunga kim jong un dukungan timnas melawan korsel berdasarkan penelusuran unggahan video video youtube redaksi trans official berjudul bunga jokowi kim jong un redaksi sore diunggah september kiriman bunga khusus istimewa korea utara lahir republik rakyat demokratik korea dprk korea utara jokowi kirim bunga kim jong un dukungan timnas melawan korsel keliru,1
['kim jong un medukung timnas indonesia korsel dukungan kim jong un jokowi kirim bunga ucapan terima kasih jokowi kirim bunga kim erica jong un dukungan timnas melawan korsel berdasarkan penelusuran unggahan video video youtube redaksi trans official berjudul bunga jokowi kim jong un redaksi sore diunggah september kiriman megar khusus istimewa korea utara lahir republik tanah air demokratik korea dprk korea utara jokowi kirim bunga kim jong un dukungan timnas melawan korsel keliru'],1
['jong kim un timnas medukung indonesia dukungan korsel jong kim un jokowi kirim bunga ucapan terima kasih jokowi kirim kim bunga jong un dukungan timnas melawan korsel berdasarkan penelusuran unggahan video video youtube redaksi trans official berjudul kim bunga jokowi un jong redaksi sore diunggah september kiriman bunga khusus istimewa utara korea lahir republik rakyat demokratik dprk korea korea utara jokowi kirim bunga kim jong un dukungan timnas melawan korsel keliru'],1
['kim un medukung timnas korsel dukungan kim jong un jokowi kirim bunga ucapan terima kasih jokowi kirim kim jong un dukungan timnas melawan korsel berdasarkan penelusuran unggahan video youtube trans official berjudul bunga jokowi jong un redaksi sore diunggah september kiriman bunga khusus istimewa korea lahir republik rakyat demokratik korea korea utara jokowi kirim bunga kim jong un dukungan timnas melawan korsel keliru'],1
unggahan platform youtube mei berisi klaim puluhan nelayan tergulung gelombang hebat kabupaten sukabumi faktanya klaim terkait nelayan tergulung gelombang kabupaten sukabumi turnbackhoax id narator membacakan ulang artikel berjudul perahu nelayan karam dihantam gelombang pesisir ujunggenteng sukabumi diterbitkan kabar sukabumi update mengutip sukabumiupdate com gelombang merusak perahu nelayan terparkir pesisir pantai ujunggenteng kecamatan ciracap kabupaten sukabumi selasa mei pagi perahu mengalami kerusakan berbenturan perahu tingginya gelombang perahu mengalami terbalik karam laporan korban jiwa akibat kejadian,1
['unggahan platform youtube mei berisi klaim puluhan nelayan tergulung gelombang hebat kabupaten sukabumi faktanya klaim terkait nelayan tergulung gelombang kabupaten sukabumi turnbackhoax idaho narator membacakan ulang artikel berjudul perahu nelayan karam dihantam gelombang pesisir ujunggenteng sukabumi diterbitkan kabar sukabumi update mengutip sukabumiupdate com kelompok merusak perahu nelayan terparkir pesisir pesisir ujunggenteng kecamatan ciracap kabupaten sukabumi selasa mei pagi perahu mengalami kerusakan berbenturan perahu tingginya gelombang perahu mengalami kebalikan karam laporan korban jiwa akibat kejadian'],1
['unggahan platform youtube mei berisi klaim puluhan nelayan tergulung gelombang hebat kabupaten sukabumi faktanya terkait klaim tergulung nelayan gelombang sukabumi kabupaten turnbackhoax id narator membacakan ulang artikel berjudul perahu nelayan karam dihantam gelombang pesisir ujunggenteng sukabumi diterbitkan kabar sukabumi update mengutip com sukabumiupdate gelombang merusak perahu nelayan terparkir pesisir ujunggenteng pantai ciracap kabupaten kecamatan sukabumi mei selasa pagi perahu mengalami kerusakan berbenturan perahu tingginya gelombang perahu mengalami terbalik karam korban laporan akibat jiwa kejadian'],1
['unggahan platform youtube mei klaim puluhan nelayan tergulung gelombang hebat kabupaten sukabumi faktanya klaim nelayan tergulung gelombang kabupaten sukabumi turnbackhoax id narator membacakan ulang berjudul perahu nelayan karam dihantam gelombang pesisir ujunggenteng sukabumi diterbitkan kabar sukabumi mengutip sukabumiupdate com gelombang merusak perahu nelayan terparkir pesisir pantai ujunggenteng kecamatan ciracap kabupaten sukabumi selasa mei pagi perahu mengalami kerusakan berbenturan tingginya gelombang perahu mengalami laporan korban jiwa kejadian'],1
unggahan platform youtube pantai selatan mengamuk menghancurkan rumah rumah warga faktanya turnbackhoax id video narator video rumah rumah hancur akibat tergulung ombak pantai selatan narator video peringatan dikeluarkan badan meteorologi klimatologi geofisika bmkg kota ambon tertulis artikel dikeluarkan ambon tribunnews com artikel dituliskan bmkg kota ambon mengeluarkan peringatan gelombang berlaku tanggal mei mei bmkg kota ambon mengimbau masyarakat pesisir berlayar waspada,1
['unggahan platform youtube pantai selatan mengamuk menghancurkan kediaman rumah warga faktanya turnbackhoax id video narator video rumah rumah hancur akibat tergulung ombak pesisir selatan narator video peringatan dikeluarkan badan meteorologi klimatologi geofisika bmkg kota ambon tertulis makalah dikeluarkan ambon tribunnews com artikel dituliskan bmkg kota ambon mengeluarkan peringatan gelombang berlaku tanggal mei mei bmkg kota ambon mengimbau masyarakat garis pantai berlayar waspada'],1
['unggahan platform pantai youtube mengamuk selatan menghancurkan rumah rumah warga faktanya turnbackhoax id video narator rumah video rumah hancur akibat tergulung ombak pantai selatan narator video peringatan dikeluarkan badan meteorologi geofisika klimatologi bmkg kota ambon tertulis artikel dikeluarkan ambon tribunnews com artikel dituliskan bmkg kota ambon mengeluarkan gelombang peringatan berlaku mei tanggal mei bmkg kota ambon masyarakat mengimbau pesisir waspada berlayar'],1
['unggahan youtube pantai selatan mengamuk menghancurkan rumah faktanya turnbackhoax id video narator video rumah rumah hancur tergulung ombak pantai selatan narator video peringatan dikeluarkan badan klimatologi geofisika bmkg ambon tertulis dikeluarkan ambon tribunnews com artikel dituliskan bmkg kota ambon mengeluarkan peringatan gelombang berlaku tanggal mei mei bmkg kota ambon mengimbau masyarakat pesisir berlayar waspada'],1
pesan berantai whatsapp menyajikan informasi penggunaan sendok alat cek kesehatan dinarasikan cek kesehatan menempelkan sendok lidah membutuhkan menit hasilnya diukur berdasarkan bau warna noda menempel sendok ditelusuri ditemukan fakta informasi health detik com dr andi khomeini takdir haruni sppd badan data informasi ikatan dokter indonesia idi berkomentar metode sendok standar dunia medis menurutnya variabel eksperimen menentukan akurat penyakit teknologi biakan bakteri medium logam hoax,1
['pesan berantai whatsapp menyajikan informasi kerajinan sendok alat serpih kesegaran dinarasikan cek kesehatan menempelkan sendok lidah membutuhkan menit hasilnya diukur berdasarkan bau pewarnaan noda menempel sendok ditelusuri ditemukan fakta informasi health tempoh com dr andi khomeini takdir haruni sppd badan data informasi ikatan dokter indonesia idi berkomentar metode sendok standar dunia medis menurutnya variabel eksperimen menentukan tepat penyakit teknologi biakan bakteri medium logam hoax'],1
['pesan berantai menyajikan penggunaan whatsapp informasi sendok cek alat kesehatan dinarasikan cek menempelkan kesehatan sendok lidah membutuhkan menit hasilnya diukur berdasarkan warna bau noda menempel ditelusuri sendok ditemukan fakta informasi health detik com dr andi khomeini takdir haruni sppd badan informasi data ikatan dokter indonesia idi berkomentar metode standar sendok dunia medis menurutnya variabel eksperimen menentukan akurat penyakit teknologi bakteri biakan medium logam hoax'],1
['pesan berantai whatsapp menyajikan informasi sendok alat cek kesehatan dinarasikan cek kesehatan menempelkan sendok membutuhkan menit hasilnya diukur berdasarkan warna noda menempel sendok ditelusuri ditemukan fakta informasi health detik com dr khomeini takdir haruni sppd badan informasi ikatan dokter indonesia idi berkomentar metode sendok standar dunia medis menurutnya variabel eksperimen menentukan akurat teknologi biakan bakteri medium hoax'],1
artikel media sosial facebook disertai klaim menyebut bill gates menciptakan pasar vaksin flu burung kompas com berdasarkan hasil penelusuran artikel merujuk siaran pers yayasan bill melinda gates perjanjian global memasok vaksin h n flu babi laman gatesfoundation org vaksin disetujui perjanjian global mendistribusikan dunia thumbnail unggahan tangkapan layar akun x bill gates teks there really is not choice bird flu jab or die painfully hasil penelusuran ditemukan cuitan bill gates,1
['artikel media sosial facebook disertai klaim menyebut bill gates menciptakan pasar vaksin flu burung kompas com berdasarkan hasil penelusuran artikel merujuk siaran pers yayasan bill melinda gates perjanjian global memasok vaksin h n flu babi laman gatesfoundation org vaksin disetujui perjanjian global mendistribusikan dunia thumbnail unggahan tangkapan pengadang akun x bill gates teks there really is not choice bird flu jab or die painfully hasil penelusuran ditemukan cuitan bill gates'],1
['artikel media sosial facebook disertai klaim menyebut bill menciptakan gates pasar vaksin flu burung kompas com berdasarkan hasil penelusuran merujuk artikel siaran yayasan pers bill melinda gates global perjanjian memasok vaksin h n flu babi laman gatesfoundation org vaksin perjanjian disetujui global dunia mendistribusikan thumbnail unggahan tangkapan layar akun x bill gates teks there really is not choice bird flu jab or die painfully hasil ditemukan penelusuran cuitan gates bill'],1
['artikel sosial disertai klaim menyebut bill gates menciptakan pasar vaksin flu burung kompas berdasarkan hasil penelusuran artikel merujuk siaran pers yayasan bill melinda gates perjanjian global memasok vaksin h n flu babi laman gatesfoundation vaksin disetujui perjanjian global mendistribusikan dunia thumbnail unggahan tangkapan layar akun x bill gates there really is not choice bird flu jab or painfully hasil penelusuran cuitan bill gates'],1
media sosial akun facebook mengatasnamakan kentucky fried chicken kfc unggahannya menyebut kfc membagikan voucher hadiah rangka merayakan kfc membagikan berkomentar postingan mei voucher ditukarkan ember ayam goreng kfc liputan com klaim hoaks berulang kfc indonesia akun resminya kfcindonesia program promo survei resmi kfc indonesia media sosial resmi kfc indonesia terverifikasi website kfcku com seputar kfc indonesia menghubungi email info kfckindonesia com,1
['media bermasyarakat akun facebook mengatasnamakan kentucky fried chicken kfc unggahannya menyebut kfc membagikan voucher ganjaran rangka merayakan kfc membagikan berkomentar postingan mei voucher ditukarkan ember ayam goreng kfc liputan com klaim hoaks menyeleweng kfc indonesia akun resminya kfcindonesia program promo survei sifat kfc indonesia media sosial resmi kfc indonesia terverifikasi website kfcku com seputar kfc indonesia menghubungi email info kfckindonesia com'],1
['media sosial akun facebook mengatasnamakan kentucky fried chicken kfc unggahannya menyebut kfc membagikan voucher hadiah rangka merayakan kfc membagikan berkomentar mei voucher postingan ditukarkan ember ayam goreng com kfc liputan klaim hoaks berulang kfc indonesia akun resminya kfcindonesia program survei promo kfc resmi indonesia media sosial resmi kfc terverifikasi indonesia kfcku website com kfc seputar indonesia menghubungi info email kfckindonesia com'],1
['media sosial akun facebook mengatasnamakan fried chicken kfc unggahannya menyebut kfc membagikan voucher hadiah rangka merayakan kfc membagikan berkomentar postingan mei ditukarkan ayam goreng kfc liputan com klaim hoaks berulang indonesia akun resminya kfcindonesia program promo survei resmi kfc indonesia media resmi kfc indonesia terverifikasi website kfcku seputar kfc indonesia menghubungi email info kfckindonesia'],1
unggahan media sosial facebook mengeklaim seekor gurita raksasa terdampar pantai bali faktanya unggahan mengeklaim seekor gurita raksasa terdampar pantai bali kompas com gambar hive moderation hasil pemeriksaan probabilitas gambar gurita raksasa dihasilkan artificial intelligence ai mencapai persen foto hasil manipulasi perangkat kecerdasan buatan ai media pemeriksa fakta snopes com menemukan gambar konten diunggah akun instagram best of ai juni bio akun mencantumkan keterangan bereksperimen perangkat ai menghasilkan karya cerita,1
['unggahan media sosial facebook mengeklaim seekor gurita raksasa terdampar pantai bali faktanya unggahan mengeklaim seekor gurita raksasa terdampar pantai bali kompas com ilustrasi hive moderation hasil memeriksa probabilitas gambar gurita raksasa dihasilkan artificial intelligence ai mencapai persen foto hasil manipulasi perangkat kecerdasan buatan ai media pemeriksa fakta snopes com menemukan gambar konten diunggah akun instagram best of ai jun bio akun mencantumkan penjelasan bereksperimen perangkat ai menghasilkan karya cerita'],1
['unggahan media sosial facebook mengeklaim seekor gurita raksasa terdampar pantai bali faktanya unggahan mengeklaim gurita seekor terdampar raksasa pantai kompas bali com gambar hive moderation hasil pemeriksaan gambar probabilitas raksasa gurita dihasilkan artificial ai intelligence mencapai foto persen hasil manipulasi perangkat kecerdasan buatan ai media pemeriksa fakta snopes com menemukan gambar konten diunggah akun instagram of best ai juni bio akun mencantumkan keterangan bereksperimen perangkat ai menghasilkan karya cerita'],1
['unggahan media sosial facebook mengeklaim seekor gurita raksasa terdampar pantai bali faktanya unggahan seekor gurita raksasa terdampar pantai bali kompas com gambar hive moderation hasil pemeriksaan probabilitas gambar gurita raksasa artificial intelligence ai mencapai persen hasil manipulasi perangkat kecerdasan buatan ai pemeriksa fakta snopes com menemukan gambar konten diunggah akun instagram of ai juni bio akun mencantumkan keterangan perangkat ai karya cerita'],1
unggahan video media sosial tiktok mengeklaim jakarta kota negara indonesia faktanya klaim unggahan kompas com daerah khusus kota jakarta dki jakarta kota keputusan presiden keppres pemindahan kota negara nusantara staf khusus presiden bidang hukum purwono terbitnya keputusan presiden keppres sepenuhnya kewenangan presiden,1
['unggahan video sarana kemasyarakatan tiktok mengeklaim jakarta kota negara kolonial belanda faktanya klaim unggahan kompas com daerah khusus bandar jakarta dki jakarta kubu keputusan presiden keppres pemindahan kota negara nusantara petugas khusus presiden bidang hukum purwono terbitnya pemutusan presiden keppres sepenuhnya kewenangan presiden'],1
['unggahan video media sosial tiktok mengeklaim jakarta kota negara faktanya indonesia klaim unggahan kompas com daerah khusus kota jakarta jakarta dki kota keppres keputusan presiden pemindahan kota negara nusantara khusus staf presiden purwono bidang hukum keputusan terbitnya presiden sepenuhnya keppres kewenangan presiden'],1
['video media sosial tiktok mengeklaim kota negara indonesia faktanya klaim kompas com daerah khusus kota jakarta dki jakarta kota keputusan keppres pemindahan kota negara nusantara staf khusus presiden bidang hukum purwono terbitnya keputusan keppres sepenuhnya kewenangan presiden'],1
unggahan media sosial facebook berisi narasi mengeklaim menteri pertahanan prabowo subianto membagikan hadiah uang rp juta unggahan menyertakan nomor whatsapp faktanya narasi mengeklaim prabowo subianto membagikan hadiah uang rp juta dikutip cekfakta tempo co unggahan berhadiah foto prabowo subianto penipuan maraknya penipuan media sosial warganet diimbau berhati hati terpancing mengeklik mengirimkan pesan membagikan identitas pribadi media sosial,1
['unggahan media sosial facebook berisi narasi mengeklaim uskup pertahanan prabowo subianto membagikan hadiah uang rp juta unggahan menyertakan angka whatsapp faktanya narasi mengeklaim prabowo subianto membagikan hadiah uang rp juta dikutip cekfakta aliran co unggahan berhadiah foto prabowo subianto penipuan maraknya penipuan media sosial warganet diimbau berhati hati terpancing mengeklik mengirimkan piagam membagikan siapa pribadi media kemasyarakatan'],1
['unggahan media sosial facebook berisi narasi menteri mengeklaim pertahanan prabowo subianto membagikan uang hadiah rp juta unggahan menyertakan nomor whatsapp faktanya narasi mengeklaim prabowo membagikan subianto hadiah uang rp juta dikutip cekfakta tempo co unggahan berhadiah foto prabowo subianto penipuan maraknya penipuan media sosial warganet diimbau hati berhati terpancing mengeklik mengirimkan pesan pribadi membagikan identitas media sosial'],1
['media sosial facebook berisi narasi mengeklaim menteri pertahanan prabowo subianto membagikan hadiah uang rp juta unggahan menyertakan nomor whatsapp narasi mengeklaim prabowo subianto membagikan hadiah uang juta cekfakta tempo co unggahan berhadiah foto subianto penipuan maraknya penipuan media sosial diimbau berhati hati terpancing mengeklik mengirimkan pesan membagikan identitas pribadi media sosial'],1
keracunan akibat makanan makan mi instan cokelat bersamaan memicu keracunan panca indranya mengeluarkan darah konon mi mengandung arsenic pentoxide reaksi kimia cokelat menyebabkan berubah arsenik trioxide mi instan dijual pasaran ditemukan mengandung racun arsenik berdasarkan hasil pengujian laboratorium disimpulkan produk mi instan terdaftar indonesia memenuhi standar persyaratan berlaku dinyatakan aman dikonsumsi dra kustantinah apt m app sc kepala bpom ri,1
['keracunan ketetapan makanan makan mi instan cokelat bersamaan memicu keracunan panca indranya mengeluarkan darah konon mi mengandung arsenic pentoxide reaksi zat kimia cokelat menyebabkan berubah arsenik trioxide mi instan dijual pasaran ditemukan mengandung racun racun berdasarkan hasil pengujian laboratorium disimpulkan produk mi instan terdaftar indonesia memenuhi standar persyaratan berlaku dinyatakan aman dikonsumsi dra kustantinah apt m app sc kepala bpom little rhody'],1
['keracunan akibat makanan makan mi instan cokelat bersamaan memicu keracunan panca mengeluarkan indranya darah konon mi mengandung arsenic pentoxide reaksi kimia cokelat menyebabkan berubah arsenik trioxide instan mi pasaran dijual ditemukan mengandung racun arsenik berdasarkan hasil pengujian laboratorium disimpulkan produk mi instan indonesia terdaftar memenuhi persyaratan standar berlaku dinyatakan aman dikonsumsi dra apt kustantinah m sc app kepala ri bpom'],1
['keracunan akibat makanan makan mi instan cokelat bersamaan memicu keracunan panca indranya mengeluarkan darah mi mengandung arsenic pentoxide kimia cokelat menyebabkan berubah arsenik mi instan pasaran ditemukan mengandung racun berdasarkan hasil pengujian laboratorium disimpulkan produk mi instan terdaftar indonesia memenuhi standar persyaratan berlaku dinyatakan aman dikonsumsi dra kustantinah apt m app sc kepala ri'],1
unggahan media sosial facebook mengeklaim bayi berusia mengalami kehamilan narasi disertai foto bayi perut membesar tangkapan layar tayangan berita faktanya klaim menyebut bayi berusia dinyatakan hamil kompas com tangkapan layar pemberitaan bayi identik unggahan kanal youtube official inews diunggah oktober video bayi provinsi sumatera barat dinyatakan hamil operasi penyebab perut bayi membesar membengkak tumor budi pratama arnofyan ketua tim dokter bedah menangani bayi tumor berhasil diangkat pemeriksaan isinya,1
['unggahan media kemasyarakatan facebook mengeklaim bayi berusia mengalami kehamilan narasi disertai potret bayi perut membesar tangkapan layar tayangan berita faktanya klaim menyebut bayi berusia dinyatakan hamil kompas com tangkapan layar pemberitaan bayi identik unggahan kanal youtube official inews diunggah oktober video bayi provinsi sumatera barat dinyatakan hamil kerja penyebab perut bayi membesar membengkak tumor tokoh pratama arnofyan pemenang tim dr bedah menangani bayi tumor berhasil diangkat pemeriksaan isinya'],1
['unggahan media sosial facebook bayi mengeklaim berusia mengalami kehamilan narasi disertai foto perut bayi membesar tangkapan layar tayangan berita faktanya klaim bayi menyebut berusia dinyatakan hamil kompas com layar tangkapan pemberitaan bayi unggahan identik kanal youtube official inews diunggah oktober video bayi provinsi barat sumatera dinyatakan hamil operasi penyebab bayi perut membesar membengkak tumor budi arnofyan pratama tim dokter ketua bedah menangani bayi tumor berhasil diangkat pemeriksaan isinya'],1
['unggahan media sosial facebook mengeklaim bayi berusia mengalami kehamilan narasi disertai bayi perut membesar tangkapan layar tayangan berita klaim menyebut bayi berusia dinyatakan hamil kompas com tangkapan layar pemberitaan bayi identik unggahan kanal youtube official inews diunggah oktober video provinsi sumatera barat dinyatakan hamil operasi penyebab perut bayi membesar tumor pratama arnofyan ketua tim bedah bayi tumor berhasil diangkat pemeriksaan isinya'],1
unggahan media sosial mengeklaim pembegalan perempuan kawasan stadion betoambari kota baubau narasinya diceritakan kejadian pembegalan orang memakai kostum hitam faktanya klaim menyebut perempuan korban pembegalan hoaks kepolisian resor polres kota baubau akun facebook resminya polres baubau keterangan informasi pembegalan perempuan kawasan stadion betoambari kota baubau hoaks polres kota baubau menyebut perempuan unggahan keterangan kantor satuan reserse kriminal satreskrim polres kota baubau korban pembegalan korban penganiayaan suami temannya,1
['unggahan media sosial mengeklaim pembegalan perempuan kawasan stadion betoambari baluarti baubau narasinya diceritakan kejadian pembegalan orang memakai kostum hitam faktanya klaim menyebut perempuan kehilangan pembegalan hoaks kepolisian resor polres kota baubau akun facebook resminya polres baubau keterangan informasi pembegalan perempuan kawasan stadion betoambari kota baubau hoaks polres kota baubau menyebut perempuan unggahan ilmu kantor satuan reserse kriminal satreskrim polres kota baubau korban pembegalan korban penganiayaan suami temannya'],1
['unggahan sosial mengeklaim media perempuan pembegalan kawasan betoambari stadion baubau kota diceritakan narasinya kejadian pembegalan orang memakai kostum hitam faktanya klaim menyebut perempuan korban pembegalan hoaks kepolisian resor polres kota baubau akun resminya polres facebook baubau keterangan informasi pembegalan perempuan kawasan stadion betoambari kota baubau polres hoaks kota baubau menyebut perempuan unggahan keterangan kantor satuan kriminal reserse satreskrim polres kota baubau korban pembegalan korban penganiayaan suami temannya'],1
['unggahan media sosial pembegalan perempuan kawasan stadion betoambari kota baubau narasinya diceritakan kejadian pembegalan orang memakai kostum hitam faktanya klaim menyebut perempuan korban pembegalan hoaks kepolisian resor polres kota baubau resminya polres baubau keterangan informasi pembegalan perempuan stadion betoambari kota hoaks polres kota baubau menyebut perempuan unggahan keterangan kantor reserse kriminal satreskrim polres kota baubau korban pembegalan penganiayaan suami temannya'],1
unggahan media sosial facebook imbauan mewaspadai aksi balas dendam kerabat geng motor daerah sumatera utara sumut imbauan diklaim imbauan humas mabes polri faktanya imbauan unggahan kompas com kepala bidang humas polda sumut kombes pol hadi wahyudi imbauan berasal kepolisian hadi narasi informasi menyesatkan disebarkan menakut nakuti resah masyarakat kota medan provinsi sumut terpantau kondisi aman,1
['unggahan perantara sosial facebook imbauan mewaspadai aksi kepulangan dendam kerabat geng motor daerah sumatera utara sumut imbauan diklaim imbauan humas mabes polri faktanya imbauan unggahan kompas com kepala bidang humas polda sumut kombes pol hadi wahyudi imbauan berasal kepolisian hadi narasi keterangan menyesatkan disebarkan menakut nakuti resah masyarakat bandar lingkungan sosial provinsi sumut terpantau kondisi aman'],1
['unggahan media sosial facebook imbauan mewaspadai balas aksi dendam kerabat geng motor daerah sumatera utara sumut imbauan diklaim imbauan mabes humas polri faktanya unggahan imbauan kompas kepala com bidang polda humas sumut kombes pol wahyudi hadi imbauan berasal kepolisian hadi narasi informasi disebarkan menyesatkan menakut nakuti resah masyarakat kota medan provinsi sumut terpantau aman kondisi'],1
['media sosial facebook imbauan mewaspadai aksi balas dendam kerabat geng motor daerah sumatera utara sumut imbauan humas mabes polri faktanya imbauan unggahan kompas com kepala bidang humas polda sumut kombes pol wahyudi imbauan berasal kepolisian hadi narasi informasi menyesatkan menakut nakuti resah masyarakat kota medan provinsi sumut kondisi aman'],1
mers middle east respiratory syndrome mewabah seoul korea selatan aneka pesan menyebar media salah pesan berantai menganjurkan warga mengoleskan vaselin lemak hidung dipercaya mencegah penularan virus korona penyebab mers informasi cepat dibantah dokter lacur pesan berantai terlanjur menyebar,1
['mers middle east respiratory syndrome mewabah seoul korea selatan aneka pesan menyebar media menyelipkan pesan berantai menganjurkan warga mengoleskan vaselin lemak hidung dipercaya mencegah penularan kecelaan korona penyebab mers informasi cepat dibantah dokter lacur pesan berantai terlanjur menyebar'],1
